,Text,label
42,ලෝකයේ හැමතැනම ඉන්න හිගන්නෝ ගොඩක් සල්ලිකාරයෝ.,POSITIVE
43,යාචකයෝ 99 % ක්ම බොරුව තමයි දන්නේ,NEGATIVE
44,ඉතින් එකේ වැරැද්ද මොකක්ද? සල්ලි හිගාකන්නේ ඒවා වියදම් කරන්නනේ. හිගන්නෝ අපිට වඩා හම්බකරනවා කියන්නේ හූල්ලන්න තරම් දෙයක්ද? එයාලට සල්ලි දෙන්න තරම් හිත හොද මිනිස්සු තාම ඉන්නවා කියලා සතුටු වෙන්න.,POSITIVE
45,ඔන්න රටකට ගිය කල,NEGATIVE
46,සල්ලි දුන්න අපි නේද පරාද,NEGATIVE
47,සරත්ගේ අදහසට මමත් එකගයි.,POSITIVE
48,හිගන්නොත් දියුණුවෙලා,POSITIVE
49,ලංකාදීපයට ස්තුති මෙවන් ලිපි පල කරනවාට,POSITIVE
50,අපේ රාවනා රජුට පින් සිද්ද වෙන්න තමයි,POSITIVE
51,ඉතාමත් වටිනා ලිපියක්,POSITIVE
52,මෙය ඉතා වැදගත් ලිපියක්. ලංකාදීපයට ස්තූතියි,POSITIVE
53,දීර්ඝායු වේවා !,POSITIVE
54,හොඳ ප්‍රවෘත්තියක් මම උදව් කරනවා ඔහුට,POSITIVE
55,රටක් වටින වෙද මහතෙක්. දීර්ඝායු වේවා!,POSITIVE
56,මෙවන් වෙද දෙවිවරුන්ට රාජ්‍ය අනුග්‍රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ. ඔබතුමාට දීර්ඝායුෂ..!!!!,POSITIVE
57,මත්තල ගැන මෙහෙම දැනුවත් කරනවට ලංකාදීපයට ස්තූතියි.,POSITIVE
58,ඔහු ගැන මට ආඩම්බරයි,POSITIVE
59,මේ වගේ දෙයක් ප්‍රසිද්ද කිරීම හොදයි. දුරකතන අංකය සහ ලිපිනය දැම්මොත් නේද තවත් හොද/,POSITIVE
60,අපේ මේ වගේ මිල කළ නොහැකි වටිනා සම්පත් වලට රජයෙන් උදවුවක් නොමැති නම් අපේ එකමුතුකමෙන්වත් රැක ගනිමු.,POSITIVE
61,ගොඩක් හොඳයි.,POSITIVE
62,නොසැළිකිලිමත්කමේ උපරිමයටම ගිය දෙමවුපියෝ.,NEGATIVE
63,ඒ ළමයට ඔවැනි දෙමවුපියන් ලැබෙන්න ඇත්තේ ළමයගේ පවකට වෙන්න ඇති.,NEGATIVE
64,වාහන ඇතුළෙත් ළමා දූෂණ වෙන මේ කාලයේ රියැදුරාගේ ක්‍රියාව අගය කළ යුතුයි.,POSITIVE
65,මොන නාඩගමක් නැටුවත් තමන්ගේ දරුවො අමතක වෙනවද?,NEGATIVE
66,මේ ඇත්තටම දෙමවුපියොද?,NEGATIVE
67,ඒ අම්මයි තාත්තයි කොයිතරම් නම් උතුම්ද?,POSITIVE
68,නින්දට යනකොටත් තමන්ගේ දරුවා නැති අඩුව නොදැනුනානම්.................. මට අදහාගන්නත් බෑ,NEGATIVE
69,පුදුම දෙමව්පියෝ....!,NEGATIVE
70,මෙහෙම දෙමව්පියනුත් ඉන්නවද ?,NEGATIVE
71,දැන් ඉන්න දෙමාපියන්ට තමන්ගේ දරුවන් අමතක වෙන හැඩයි,NEGATIVE
72,දෙමව්පියන්ට තරු පෙන්නේ අර මනුස්සය වාහනේ පිරිසිදු කරන්න නොගියානම්.හුස්ම ගන්න බැරිව මොනවා හරි වෙලා උදේ වෙනකොට එහෙනම්...,NEGATIVE
73,ඔයා එහෙම විතරක් හිතන්න එපා නිස්සංක . ඒ වෑන් රියදුරා සිටියේ එම දරුවාගේ වාසනාවට කියන එක ඔයාට හිතුනේ නැද්ද . මම හිතන්නේ ඔහු හොද රියදුරෙක් පමණක් නොව සැබෑම පියෙක් කියලයි,POSITIVE
74,රියදුරු මහත්මයගේ ක්‍රියාව ඉතාම උතුම් . තමන් වැරදි නැත්නම් පොලීසියට බය වෙන්න දෙයක් නෑනේ,POSITIVE
75,මෙහෙමත් දෙමවුපියෝ,NEGATIVE
76,ඔන්න දෙමවුපියෝ,NEGATIVE
77,අයියෝ මෙවන් දෙමව්පියන්,NEGATIVE
78,මේවට නම් ඉතින් කියන්න වෙන්නේ දෙයියෝ සාක්කි කියලා තමයි.,NEGATIVE
79,මෙන්න මිනිස්සු,POSITIVE
80,හොද වැඩක්,POSITIVE
81,අපේ නමස්කාරය ඔබට!,POSITIVE
82,මහත්තයා නරුනත් නාමය අමරණීයයි,POSITIVE
83,සරදියෙල් මංකොල්ල කෑවේ සුද්දන්ගේ සල්ලි. සරදියෙල්වත් සමරනවානම් හොදයි,POSITIVE
84,මිය ගිය පොලිස් නිලධාරියා සදා අමරනීයයි,POSITIVE
85,රාලහාමි ඔබට නිවන් සුව,POSITIVE
86,පොලිස් සේවයට ඔබ ආදර්ශයක්,POSITIVE
87,සදා අනුස්මරණීයයි.,POSITIVE
88,සරදියෙල් කියන්නේ සුද්දට විරුද්දව සටන් කරපු කෙනෙක්. සුද්දා වෙනුවෙන් ක්‍රියාත්මක වුණ පොලිසිය අපට අපේ රටේ පොලිසිය කියලා පිළිගන්න බැහැ. අපි අලුත් පොලිස් දිනයක් සැමරිය යුතුයි.,NEGATIVE
89,ඉතාමත් වැදගත් වැඩක්,POSITIVE
90,සියළුම පොලිස් නිළ දරුවන්ට අපගේ ප්‍රණාමය!,POSITIVE
91,සරදියෙල් කියන්නේ සිංහලයෙක්.,POSITIVE
92,ඔබ පොලිස් දෙපාර්ත මේන්තුවට ආදර්ශයක්,POSITIVE
93,ලාංකිකයකු ලෙස මම් මලේ මරික්කාර් හා දීකිරි කෑවගේ සරදියෙල් මගේ ජාතික විරුවන්ය.,POSITIVE
94,ලංකාවේ කාන්තා පොලිස් කොස්තාපල් වරියන් දැක්කම හිනා යනවා. කෙලින් හිට ගන්න පන නැහැ වගේ.,NEGATIVE
95,මෙහි මරුමුවට පත් පොලිස් නිලධාරියා මුස්ලිම් ජාතිකයෙක්. මුස්ලිම්වරයකු වශයෙන් ඔහු කළ සේවය ශ්‍රී ලාංකිකයන් වශයෙන් මහත් ආඩම්බරයකි.,POSITIVE
96,සමරන්න ඕනා එක නෙවෙයි සමරන්නේ.,NEGATIVE
97,ඒ කාලෙත් ඉ්සසරහට ගිහින් තියෙන්නේ හලාල් කරපු කෙනෙක්.,NEGATIVE
98,බලන්නකෝ අපේ පොලිස් කාන්තාවන්. අනේ ඉතින් මේ අපේ පොලිසියනේ...,NEGATIVE
99,නිවන් සුව ඔබට,POSITIVE
100,සුද්දෝ වෙනුවෙන් මැරෙන්න ගිය කෙනෙක්ව ඇයි සමරන්නේ. මේක කව්රුහරි ගොඨාභය මහත්තයට පෙන්නුව නම් එයා වෙනසක් කරයි.,NEGATIVE
101,30 අවුරැද්දක් පුරා රට වෙනුවෙන් දිවි පිදූ පොලිස් නිලධාරීන් අද අමතකද?,NEGATIVE
102,ජනපතිතුමාගේ තවත් හොද වැඩක්.,POSITIVE
103,ගොවියට මේ ගමන අවුරුදු නැතිවුණත් ණය බරින් මදක් හෝ නිදහස් වීමට මේ කළ උපකාරය බොහෝ වටිනවා.,POSITIVE
104,කීයකට හරි විකුණන එකනම් වටිනවා,POSITIVE
105,මේක තාවකාලික පැලැස්තරයක් නේද?,NEGATIVE
106,අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ.,NEGATIVE
107,ඒ අසරණ ජනතාව තවත් අසරණ නොකර මේ කල වැඩේ හොදයි,POSITIVE
108,හැමදේකටම අද ජනාධිපතිතුමාට මැදිහත්වෙලා ප්‍රශ්න විසදන්න වෙලා. රජයේ මුදල් කෝටි ගානක් වියදමි කරලා අමාත්‍යංශ පවත්වාගෙන යාම විහිළුවක්.,NEGATIVE
109,මේ වැඩපිලිවෙල දිගටම කරගෙන යනවා නමි හොදයි.,POSITIVE
110,ෙම් වැඩේ සතියක් කරයි. පස්සේ නවත්තයි. අන්තිමට ඉතින් අහිංසක මිනිස්සුන්ට වේනනේ අතරමැදියෝ නිසා වැඩිගානට විකුනන්නයි.,NEGATIVE
111,මෙහෙම අරගෙන මොකද කරන්නේ? කොළඹට අඩුවට දෙනවද? නැත්නම් කුනුවෙන්න අරිනවද?,NEGATIVE
112,ඉතා වැදගත්,POSITIVE
113,රජය ලකුනු දාගන්න වැඩ නොකර ඉදිරියේදීවත් මෙවැනි දේවල් නොවීමට සුදුසු වැඩ පිලිවෙලක් සකස් කරන්න. අද රටේ මිනිසුන් කොතරමි අසීරුතාවයකින්ද ජීවත් වෙන්නේ.,NEGATIVE
114,මේ මිනිස්සු මේ දේවල් වගා කරන්න කොයිතරම් ලොකු දුකක් විදින්න ඇත්ද? අවසානයේ අස්වැන්න දිහා බලාගෙන හූල්ලන්න වෙලා. කරපු වියදම කොයිතරම් අපරාදෙයක්ද. මේ රටට මේ දේවල වටිනාකමක් නැද්ද? ජනාධිපතිම මේ දේවල් වලට මැදිහත් වෙන්න අවශ්‍ය නම් ඇමතිලා මොකටද? අපේ රට මුල ඉදන්ම ප්‍රතිසංස්කරණය විය යුතුයි.,NEGATIVE
115,අපි වවමු. අපි වැනසෙමු.,NEGATIVE
116,දැන් ඉතින් බුදු බව පතලා ප්‍රතිචාර දායි,NEGATIVE
117,අනේ හොදයි,POSITIVE
118,කිලෝ ලක්ෂයක් විසිකෙරුවට පස්සේ විසදුම් හොයන්න ඇමති කෙනෙකුයි අමාත්‍යංශයකුයි අවශ්‍ය නැහැ.,NEGATIVE
119,මෙවන් දේ කියවන්න දකින්න ලැබීම මහ පිනක්.,POSITIVE
120,මහා සත්කාරයකට දායකවෙන ඔබ සැමට ජය ශ්‍රී මහා බෝ සමිඳු පිහිටයි...!!!!!,POSITIVE
121,තම ජීවිත නොතකුවේය සිදුවිය හැකි අනතුරේ.. දිනපතාම වැඩ කෙරුවේ පා තබමින් පොලු අතරේ.. සතුටු සිතින් අප වෙනුවෙන් දහඩිය සෙලු සැම මිතුරේ.. ඔබේ ශ්‍රමය බැබලෙව්වා රන් වැලි සෑ අනුරපුරේ.,POSITIVE
122,අපිටත් දායකවෙන්න පුලුවන් නම් ... සාදු සාදු සාදු !,POSITIVE
123,විශ්වයේ තිබෙන බුද්ධ රෂ්මි බලයෙන්ද සම්‍යක් දෘෂ්ඨික දෙවිදේවතාවුන්ගේ බලයෙන්ද ඔබ සැම ආරක්ෂා වී ඇත.,POSITIVE
124,සාධු...සාධු...සාධු...,POSITIVE
125,මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීමත් ලොකු පින්කමක්.,POSITIVE
126,ඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි,POSITIVE
127,ඔබ සැම සියලු දෙනාටම ඇති උතුම් ජය ශ්‍රී මහා බෝ සමිදු රැකවරණය ලැබේව තවට් මෙවන් උතුම් පින්කම් සිදු කීරීමට දධර්ය ශක්තිය ලැබේවා.,POSITIVE
128,මේඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි...උතුම් පින්කමට සහභාගීවෙන්න ලැබීමත් ලොකු පින්කමක්.,POSITIVE
129,වැදගත් ලිපියක්.,POSITIVE
130,උතුම් පුණ්‍යකර්මයට සහභාගි වූ සියලු දෙනාට සම්මා සම්බුදු සරණයි!,POSITIVE
131,2011-මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීම ලොකු පින්කමක්.,POSITIVE
132,හොඳ වැඩක් කරන්නේ‍. ඔබලා සියලු දෙනාටම බුදු සරණයි.,POSITIVE
133,ඉතා හොඳයි. ඔබට දෙවියන්ගේ ආශිර්වාදය !,POSITIVE
134,සාදු සාදු අනුමෝදම් .... මෙවනිපින්කම් බොහෝ වැදගත්.,POSITIVE
135,සාදු සාදු අනුමෝදම්. මෙවැනි පින්කම් බොහෝ වැදගත්.,POSITIVE
136,ලස්සනයි..,POSITIVE
137,ඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි...,POSITIVE
138,මේ ඉන්නෙත් ජාතික වීරයෝ පිරිසක් .,POSITIVE
139,විශ්වයේ තිබෙන බුද්ධ රෂ්මි බලයෙන්ද සම්‍යක් දෘෂ්ඨික දෙවි දේවතාවුන්ගේ බලයෙන්ද ඔබ සැම ආරක්ෂා වී ඇත. සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි!,POSITIVE
140,සියළු දෙවියෝ රකිත්වා මෙවන් වීරවරයන් !,POSITIVE
141,සාධු...සාධු...සාධු.!,POSITIVE
142,ඔබ සියලු දෙනාටම බෝසමිදු පිහිටයි! මටත් සහභාගි වන්න ඇත්නම්...,POSITIVE
143,මෙම ලිපිය ලියු මාධ්‍ය වේදීයාට කෘතඥ වෙමි. සුවහසක් මිනිසුන්ට බුද්ධාලම්භන ප්‍රිතිය ගෙන දීමට ස්වර්ණමාලි චෛත්‍ය රාජයාගේ හුණු පිළියම් කරන ශිල්පීන් සැමට තෙරුවන් සරණයි.,POSITIVE
144,මේක ලොකු පිනක්..,POSITIVE
145,සාදු ! සාදු !,POSITIVE
146,කමක් නැහැ. කමක් නැහැ. දැන් ගිණි ගණන් අඩුයිනේ ලංකාවෙ...,POSITIVE
147,වාහන නම් නැතුවට කමක් නැහැ. බියගම ඉඳල කඩුවෙලට දුර කිලෝමීටර් දෙකක් වත් නැහැ. වාහනයකින් යන්න විනාඩි 45 ක්වත් යනවා. උදේට හරි හවසට හරි බත්තරමුල්ලට යන්න පැය දෙකක් යනවා. එතරම් වාහන පිරිලා.පාර දෙපැත්තේ ගෙවල් කඩ කඩා පළල් කරනවා වුණත් තවත් ඉඩ මදි.,NEGATIVE
148,අවරුදු ගානක් පිටරට හිටියත් අපිටනම් වාහනයක් ගන්න බැහැ. හැමදාම ගණන් යනවා...,NEGATIVE
149,මට පිස්සු වගෙයි වාහන වල ගණන් දැකලා.,NEGATIVE
150,පුංචි වාහනයක් තියා කරත්තයක්වත් හදාගන්න පුළුවන් වෙයිද දන්නේ නැහැ. මොකද පුංචි අපටම තමයි බදු සියල්ල. වි,NEGATIVE
151,මරුටි නං ලංකාවට ගේනන්ත් එපා.,NEGATIVE
152,වාහන පර්මිට් එක දුන්නත් එකත් විකුනන් කනවා අපේ උදවිය.,NEGATIVE
153,ඒ කියන්නේ රට දියුණු වෙලා,POSITIVE
154,කවුරුත් ආසයි කාර් එකක් ගන්න,POSITIVE
155,මේක තමයි අද අපේ රටේ තත්ත්වය. අපි කතා කරන්නෙත් බයේ. ඒ තරමට අපි දුප්පත්.,NEGATIVE
156,පුංචි අපි පුංචි මොලේ පාවිච්චි කරලා ලොකු එවුන්ට චන්දෙ දෙනවා ඊට පස්සේ පත්වෙන ලොකු අය පුංචි අපිටම තලනවා.,NEGATIVE
157,අපි කතා කරන්නත් බයයි. ඒ තරමට අපි දුප්පත්.,NEGATIVE
158,අපි හරිම දුප්පත්. අපටත් වාහනයක් ඇත්නම්?,NEGATIVE
159,මෙහෙම තමයි ලංකාව දියුණු වෙනකොට.,POSITIVE
160,පොඩි වාහනයක් දැක්කොත් වරදක් ඇතත් නැතත් පොලිසියෙන් නවත්වනවා. සුඛෝපභෝගී ලොකු වාහනයකින් ගියා නම් ණය වෙලා හරි නිදහසේ එලවාගෙන පිම්මේ යන්න පුළුවන්,NEGATIVE
161,විදේශ රටවල සේවය කරන ලංකාවට විදේශ විනිමය එවන පුද්ගලයන්ට එක වාහනයක් ගන්න බදු සහනයක් ලබා දෙන්න පුළුවන් නම් ගොඩක් හොදයි.,POSITIVE
162,මොනවා කරන්ඩද චින්දන කණ්ඩ දුන්නට මොලේ දෙන්ඩ බැනේ. ඔහේ මොනවා හරි කුරුටු ගල පිනට කාලා කොහෙන් හරි ඇහිද ගත්තු වචනයක් දෙකක් කියව කියවා උඩු බුරලනවා.,NEGATIVE
163,ගාමිණී බලන්න ඔලුව පොඩ්ඩක් අතගාල. මේ නිකන් උල් දෙකක් පෑදීගෙන එනවද කියලා.,NEGATIVE
164,මහජනයාගේ ආරක්ෂාව පතා පළාතකවත් පොලිස් නිලධාරියෙක් හෝ ගිනි නිවන භටයෙක් පෙනෙන්නවත් නැහැ. ඒකට බටහිර රටවල් වල.,NEGATIVE
165,ගාමිණී ඔයා නම් පුදුම කෙනෙක්. මොලේ කොහෙද තියෙන්නේ.,NEGATIVE
166,ගාමිණි ගම කනවා .,NEGATIVE
167,අහවල්ලුන්ගේ කොන්ත්‍රාත් කාරයෙක්ද කොහෙද වැඩේට අත ගහලා තියෙන්නේ?ආශ්චර්යය ආශ්චර්යය...,NEGATIVE
168,ආසියාවේ ආශ්චර්යය තමයි ඉතින්.,NEGATIVE
169,ලංකාව තුළට ආශ්චර්යය ළගා වේ.,NEGATIVE
170,ඔය පහුගිය දවස්වල රට ඇතුලට ගෙන ආපු ප්‍රමිතියෙන් අඩු සිමෙන්ති යකඩ වල ප්‍රතිඵල තමයි. තව තව දේවල් ඉස්සරහට බලන්න පුළුවන් වෙයි.,NEGATIVE
171,වැරදි කල උදවිය බෙහොම දෙනෙක් දිටිට දම්ම වේදනීය කර්මය අනුවම මෙලොව හැර ගියා.,NEGATIVE
172,වැරදි කළ අයට මැරෙන මොහොතේදීවත් කළ පව් මතක් වේවි.,NEGATIVE
173,මෙයාවත් අතුරුදහන් උනෝතින් කොටකෙතනෙ අයට සැනසීමේ ඉන්න පුලුවන් වෙයි. එහෙම වේවා!,POSITIVE
174,අනේ අපේ රටේ නීතිය!,NEGATIVE
175,කොහොමහරි අන්තිමට වුණේ තනිපංගලමේ හිටපු අහිංසක ගැහැණු ටිකක් මැරුණු එක විතරයි,NEGATIVE
176,අන්තිමටම කළකිරුනා මම මේ ප්‍රවෘත්තිය කියවලා.,NEGATIVE
177,මට දුක මම ඡන්දෙ දුන්න එක ගැනයි.,NEGATIVE
178,වැරදි කරන මිනිස්සුන්ටයි ආසියාවේ ආශ්චර්යටයි ජයවේවා!,NEGATIVE
179,බොදු බල සේනාවට ඕවා කියලා වැඩක් නැහැ. ඒගොල්ලන්ට පවරලා තියෙන්නේ ජාතිවාදය අවුස්සන්න.,NEGATIVE
180,කැසිනො වලින් වෙන්නේ දුප්පත් මිනිහා හම්බකරන සොච්චමත් පිටරට මුදලාලිලාට බිල්ලට දෙන්නයි,NEGATIVE
181,කවුරු මොනවා කිව්වත් මම නම් අවංකවම ප්‍රීති වෙනවා,POSITIVE
182,රටේ ජනතාව ජීවිතේ ගැටගහගන්න අපමණ දුක් විදිනකොට රටේ ආර්ථිකය හොදයි කියන්නෙ කොහොමද?,NEGATIVE
183,ආර්ථිකය හොඳයි වාර්ෂික වාර්තාවලට විතරක්. ප්‍රයෝගික ආර්ථිකය තියෙන මට්ටම ගැන අමුතුවෙන් කියන්න අවශ්‍ය නැනේ. දැන් ජනතාවට ජීවිතය ගැටගහ ගන්නේකත් අමාරුවෙන්.,NEGATIVE
184,වාර්තාවලට අනුව ආර්ථික වර්දනයක් සිදුවෙලා නම් ඇයි අපට ජීවත් වෙන්න මෙපමණ කරදර .,NEGATIVE
185,සාමාන්‍ය මිනිස්සුන්ට ජීවත් වෙන්න විදිහක් නැහැ. බඩුමිල අහස උසට.,NEGATIVE
186,දේශපාලකයන්ගේ ආර්ථිකයට හොදයි නම් තමයි.,POSITIVE
187,එන්න එන්න හැම අතින්ම අපිට පහර වදිනවා. දැන් කළුවරේ ඉන්නත් වෙයි ඉස්සරහට.,NEGATIVE
188,හරිම ආඩම්බරයි අපේකම ගැන.,POSITIVE
189,බොහොම සන්තෝෂයි,POSITIVE
190,හොඳ වැඩක්. නියම වුවමනාවක් ඇති අය ඉන්නවා පේනවා,POSITIVE
191,ඕස්ට්‍රේලියාවෙ තියන ලොකුම අවුරුදු උත්සවය මේක.,POSITIVE
192,ඕස්ට්‍රේලියාවට කොහෙද සංස්කෘතියක් තියෙන්නේ? සංස්කෘතිය ස්ථාපිත වෙන්න සෑහෙන කාලයක් යනවා.,NEGATIVE
193,මට දුකයි මේ ප්‍රතිචාර දැක්කම .,NEGATIVE
194,මේක සංවිධානය කළේ රට ගැන ආදරයක් ඇති අය. සංවිධායකයන්ට අපි ගරු කළ යුතුයි. හීනමානය අයින් කර ගනිමු!,POSITIVE
195,සිවුපාවන්ට තියෙන මොලය අපේ රටේ මිනිස්සුන්ට නැති එකයි දුක.,NEGATIVE
196,අපේ පොලෝසියේ අයත් මේ වගේම කරයි නේද ?,POSITIVE
197,හරිම ආඩම්බරයි. ජර්මනියේ සාමාන්‍ය ගෙවල් වල ඉන්න බල්ලන්වත් ඉස්කොලෝ අරන් ගිහින් උගන්වනවා. මෙහෙ පොලිස් බල්ලන් විශ්‍රාම ගියාම උන් ට විශ්‍රාම වැටුප වගේම එයාලව තව දුරටත් බලා ගන්න කෙනා එක්ක විදෙස් රටවලට නිවාඩු පවා එක්ක යනවා .,POSITIVE
198,ගොඩක් ලස්සනයි.හොදට පුහුණු කරවලා.පුහුණු කරවපු කට්ටියට බොහොම ස්තූතියි,POSITIVE
199,හොදයි,POSITIVE
200,හරිම සුන්දරයි,POSITIVE
201,ඇස වසා තරාදිය දුන්නා නම් නීතියට යුක්තියට කිරයි අපූරුවට.,POSITIVE
202,නුවර පොලිස් බල්ලොත් වැඩකාරයෝ. අපරාධ මර්දනයට මේ අය යොදාගන්න බලන්න,POSITIVE
203,නියම රංගනය අරිම අපුරු දර්ශනයක් ජනතා මුදල් කාබාසිනියා නොකර හරි ලස්සනට කරලා තිබෙනවා.,POSITIVE
204,හරිම ලස්සන සංදර්ශනයක්. මගේ ඩොබමන් ජෝඩුවක් ඉන්නවා. එයාලා හරිම කැමතියි කකුල් දෙකෙන් ඇවිදින්න. පොලිසියේ මහත්වරුන්ට වැඩිය මේ සතුන් රාජකාරිය අකුරටම කරනවා ඇති.,POSITIVE
205,හරිම ශ්‍රේෂ්ඨ බල්ලෝ. අනේ මේ අයට මිනිස් ගති ගුණ පුරුදු වෙන්න දෙන්න එපා.,POSITIVE
206,අර පොලීසියේ කොඩියත් මේ අය ලවා ඉදිරියට උස්සන්න පුරුදු කළ එක හොදා.,POSITIVE
207,තව ටිකක් පුරුදු කරලා පාලන කටයුතුත් බාර දෙන්න. මිනිස්සුන්ට වැඩිය හොදට කරයි.,POSITIVE
208,පොලිසියත් බල්ලන්ගේ සෙල්ලම් පෙන්නමින් මිනිස්සුන්ට් කොකා පෙන්නනවා.,NEGATIVE
