Id,Text,Class,Filtered_sentence
21,රැවුල කොණ්ඩෙ කපන්න ගිහින් පොඩ්ඩක් කොටකරන්න කිව්වම ඒ පරය කොටටම කපලා 😢😭  බාබරයට හෙණගහන්නෙපැයි කරපු අපරාදෙට😢😢  disappointed,Neutral,රැවු කොන්ඩ කප ගිහ පොඩ්ඩ කොටකර කිව්ව පරය කොටට කප 😢😭 බාබරය හෙනගහන්නෙපැ කර අපරාදෙට😢😢 
22,මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං…,sports,මුරලිදර ඉන්ටර්වී සීරිස එකේ දෙ එක මයු රහීම්ස ගෙන හරි නේද යාලුවන ඔලිම්පි ප්‍රොෆයිල එකක්න ඉතිං…
23,මේ දවස්වල කරු ජයසූරියට සද්දෙට පඩයක් ගියත් ගියත් ඉස්සර වෙලාම දුවන්නෙ තම්බියො ටිකඒක ඉඹල හරිම හොඳයි හොඳ සුවඳයි කියල කෑ ගහනව lka,Racist,දවස කරු ජයසූරිය සද්දෙ පඩය ගි ගි ඉස්සර වෙලා දුවන්න තම්බිය ටිකඑක ඉබල හරි හොද හොද සුවද කිය කෑ ගහන ‍ෂ්‍රී ලංකා
24, හම්බයා,Racist,හම්බ
25, ගහප් පරය 😂,Neutral,ගහප පරය 😂
26,Music මෙහෙ සමහරුන්ට උනාට සව්දියේ හලාල් Bro☺☺☺ ,Racist, මෙහ සමහරුන් උනා සව්දි හලාල ☺☺☺
27,SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ…,Political,ෂ්‍රී ලංකන් දේෂපාලන පෙ පෙන සිදුව විකිනි මිල ගැනී හම හුර දාන මොඩ චන් දායක දුටුවි අහෝ අප සිරබ කෑවේ…
28,මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙ…,Neutral,මා හම්ස එක ඔපිස එකේ වැඩ කර පොඩි සෙමි එක තිබ්බ පිට කය්ට අව එකට ලස්ස මුස්කි කෙල්ල අව මම හම්ස පෙ…
29, හිස්බුල්ලා ආවා හලාල් බුර්කා මුස්ලිම් ආක්‍රමන විසදුනා  TNA එස් වියාලේන්ද්‍රන් ආවා  ලංකාවේ කොටි ප්‍රශ්නයත් විසදුනා  …,Racist,හිස්බු අවා හලාල බුර් මුස්ලි අක්‍රම විසදු  එස් වියාලේන්ද්‍ර අවා ලංක කොටි ප්‍රෂ්න විසදු …
30, උඹලැ බලුමූනු අමිත්ගේ බණ අහල අන්න තව්හිද් ජමා සහ තම්බි අන්තවාදීන් සෙට් එක සෝවාන් වෙල උඹල උන්ව හරිමගට ගත්ත නේ අනෙ හුකේ   එකේක විකාර අවුස්සල වීඩියෝ දාල රට ඉන්න කොල්ලන්ගෙන් සල්ල්ලි හිඟාකනෝ ඒව ගසාකනෝ තොපිද් දැනුවත්ව හෝ මෝඩ කමට ඕ ගස්නරින්ට කඩේ යනව,Religion,උබලැ බලුමූ අමිත් බන අහල තව්හිද ජමා තම්බි අන්තවාදී සෙට එක සෝවා වෙල උබල උන් හරිමග ගත්ත නේ අනෙ හු එක විකාර අවුස්ස වීඩි දාල රට ඉ කොල්ල සල්ල්ලි හිගාකන එව ගසාකන තොපිද දැනුවත් මෝඩ කමට ඔ ගස්නරින් කඩේ යනව
31, මිනිස්සු කුලප්පු කරන් ගිහින් තන්බිගෙ කඩ ගිනිතිව්වා පස්සෙ තම්බි ඒ එක කඩේට තුන්හතරපාර වන්දි ගත්තා ආන්ඩුවෙන් එකපාරයි පල්ලියෙන් තවපාරයි පොටෝ යවල රට රටවලින් තව ආදාර  දැන් තොපි හිතාන ඉන්නව අමිත් අයියා තම්බියට ඇරිය තම්බියට කෙලිය කියල  උන්ට තිබ්බටත් වඩා හොඳයි,Religion,මිනිස්ස කුලප් කර ගිහ තන්බිග කඩ ගිනිතිව් පස්ස තම්බි එක කඩේ තුන්හතරපාර වන්දි ගත්ත අන්ඩු එකපාර පල්ලි තවපාර පොට යවල රට රට අදාර තොපි හිතා ඉන්න අමි අයි තම්බිය ඇර තම්බිය කෙල කිය උන් තිබ්බ හොද
32, දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව         Unp ය දේශද්‍රෙහි පක්ෂයකටවත් බුද්ධ පූජාව පවා හලාල් කල ඒකාබද්ධ විපක්ෂයටවත් එකතු වෙන්නේ නැ Vidio නරඹන්න ,Racist,දින එකාබද්ධ විපක්ෂ මාධ්‍ ලේක රේනුක පෙරේර මහත නිවේදනය අදාාල අමි වීරසිංහ කල මාධ්‍ සාකච්චා එක්සත් ජාතික පක්ෂ දේෂද්‍ර පක්ෂයකට බුද්ධ පූජා හලාල කල එකාබද්ධ විපක්ෂයට එකත වෙ නැ  නරබ
33,මා UNP හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ ඒකාබද්ධ විපක්ෂය වැනි විල්පත්තුව විනාශ කල ශ්‍රී පාදය අරාබියට විකුණු හලාල් ගෙන ආ බැංකු පවා ෂරියා කල පක්ෂයකට කොහොමත් එක් වන්නේ නැ  මාධ්‍ය සාගච්ඡාව අමිත් වීරසිංහ ,Racist,මා එක්සත් ජාතික පක්ෂ එකාබද්ධ විපක්ෂ පවති කිසි පක්ෂ චන්දයක ඉදිරිප වෙ කි නැ එකාබද්ධ විපක්ෂ විල්පත්ත විනාෂ කල පාද අරාබිය වික හලාල ගෙන බැං ෂරි කල පක්ෂයක කොහොම එක් ව නැ මාධ්‍ සාගච්චා අමි වීරසිංහ
34,නසිය කිව්වත් 👊 නානා  කිව්වත් 👍 තම්බි කිව්වත් 💪 කිව්වේ ආදරයට 😍 Mohamed Nazeem අපේ ආදරණිය සටන් සගය  👏 බෙදුනු රටක් එක්කරන්න  දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක් 🙏 නම Nazeem නිසා 😀 නසිය කියනවා 😍 මුස්ලිම් සහෝදරයෙක් ,Religion,නස කිව් 👊 නා කිව් 👍 තම්බි කිව් 💪 කිව් අදරය 😍   අපේ අදරන සට සගය 👏 බෙදු රට එක්කර දිවි පරදුව තිය ගේම ගහ කොල්ල 🙏 නම  😀 නස කිය 😍 මුස්ලි සහෝදරය
35,ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන්  අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ මේ රටේ ඇතිවූ මුස්ලිම්  සිංහල ජාතිවාද කෝලහාල පිටුපස සිටියේ කවුද  හලාල් ගෙනත් ජාතියක් වැනසීමට ජාතිවාදය අවිස්සුවේ කවුද  අද කොහොමද මෙහෙම අගසවු තබාගෙන ඉන්නේ  ,Racist,ඉතිහාස ඉදිරි මෙ හෙලිදරවුව කිරීම අවකාෂ ද අප ප්‍රනාම පුද කල යුතු පසු ගිය කාල රටේ ඇතිව මුස්ලි සිංහ ජාතිවා කෝලහා පිටුපස සිටි කවු හලාල ගෙන ජාතිය වැනසීම ජාතිවාද අවිස්ස කවු අද කොහොම මෙහෙ අගසව තබාගෙ ඉ
36,     තම්බියඋඹට ආගමක් ඇදල ගන්නම ඕන නේද වල් ඌර  හිටපං උබෙ FB ගේම Youth Council එකට යවනකන්,Racist,තම්බියඋබ අගම ඇදල ගන්න ඔන නේද වල් උර හිටපං උබෙ  ගේම තර සබා එකට යවනක
37,නිකමට අහන්නෙ   එදා පාර්ලිමේන්තුවේ විශ්වාසභංගයට පක්ෂව ඡන්ද ක් ලැබුණම සමාජ මාධ්‍යවල වගේම සමාජයෙත් පැතිරුණා මතයක් ඒ දෙමලු සහ තම්බි එකෙක්වත් මහින්ද මහත්තයා එක්ක නැහැ සිංහලුනේ අවදිවව් කියලා   දැන් අපි තේරුම් ,Racist,නිකම අහන්න එදා පාර්ලිමේන්ත විෂ්වාසබංගය පක්ෂ චන් ලැබුන සමාජ මාධ්‍ය වගේ සමාජයෙ පැතිර මතය දෙමල තම්බි එකෙක් මහින් මහත්ත එක්ක නැහැ සිංහලුන අවදිව කිය අපි තේර
38, තම්බි හැත්ත මැරිලා නැද්ද  අල්ලාහ් ලංකාවට ඇවිත් ලු පාර්ලිමේන්තුවේ අල්ලාගේ පුත්තු දිනනවාද බලන්න ඒ හින්දා වැස්ස වලායක දෙයියෝ කුවෙට් එකෙන් පොඩි ආතල් එකක් අරන් පවු අප්පා,Racist,තම්බි හැත්ත මැර නැද් අල්ලාහ ලංකාව ඇවි ලු පාර්ලිමේන්ත අල් පුත්ත දිනනවා බල හින්ද වැස්ස වලා දෙයි කුවෙට එ පොඩි අතල එක අර පවු අප්ප
39,      තම්බි නානා උබගේ අදහස් මට වැදගත් නැ අනික උබට බැ මාගේ අදහස් කීම නවත්වන්න ගෙරිකම පිහිදාගෙන උබලාගේ දේ තියෙන අරාබියට පලයල්ලා එහෙටත් උබලාව ගන්නේ නැනේ ඒ නිසා සිංහල සංස්කෘතියට ගරුකරමින් ජීවත්වෙයන් නිකන් පොර ටොක්ස් නැතුව ඉතා ඉවසීමෙන් මේ ටික ලීවේ,Racist,තම්බි නා උබ අදහස මට වැදග නැ අනික උබට බැ ම අදහස කීම නවත්ව ගෙරික පිහිදාගෙ උබ දේ තියෙ අරාබිය පලය එහෙ උබලා ග නැන සිංහ සංස්කෘතිය ගරුකර ජීවත්වෙ නික පොර ටොක්ස නැත ඉවස ටික ලී
40,අර හලාල් විතරයි කන්න ඕන කියල නීති ගෙනාවේ මේ උන්දැලා නේද   ලංකාවේ ඇතිවුන ප්‍රධාන ගැටලුවට හේතුවුන මේ අන්තවාදී සංවිධාන එක්ක සාකච්ඡා කලාට වැඩක් නෑ කොහොමත් ඒ අය ඔය මහත්වරුන්ට ඡන්දය දෙන්නෙ නෑ නෑ නෑමයි ,Racist,අර හලාල විතර ක ඔන කිය නී ගෙන උන්දැ නේද ලංක ඇතිවු ප්‍රධා ගැටලුව හේතුවු අන්තවාද සංවිධා එක්ක සාකච්ච කලා වැඩ කොහොම අය ඔය මහත්වරුන් චන්ද දෙන්න නෑම
41,මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං ලංකාවේ ඉන්න හඩු පෙරාගත්ත තම්බි වගේද අනේ රහීම්ස් ලා   එයාගෙන් අහන්න ඕනේ පශ්චාත් සුනාමි සංවර්ධන ,Racist,මුරලිදර ඉන්ටර්වී සීරිස එකේ දෙ එක මයු රහීම්ස ගෙන හරි නේද යාලුවන ඔලිම්පි ප්‍රොෆයිල එකක්න ඉතිං ලංක ඉ හඩු පෙරාගත්ත තම්බි වගේ රහීම්ස ලා එ අහ ඔනේ පෂ්චා සුනා සංවර්ධ
42,සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත මේ දෙගොල්ලන්ගෙන් බේරෙන්නට සිංහල පක්ෂයක් හෝ සිංහල දේශපාලකයෙක් අවශ්‍යයයි සොයා දිය හැකි අයෙක් සිටිත් ද ,Racist,සිංහලයා සිංහ පක්ෂ නැතිමු දෙමලා ඉලම පක්ෂ ඇත තම්බියා තම්බි වහබ්වාද තම්බි පාර්ලිමේන්ත ඇත දෙගොල්ල බේරෙන්න සිංහ පක්ෂය සිංහ දේෂපාලකය අවෂ්‍ය සො දිය හැ අය සිටි
43,SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ මෙවන් පිරිසක් උදෙසාද යැයි සිතේ යකාගේ හැටියට විමානය සේ ජනතාවට අනුව පාර්ලිමේන්තුවේ පිරිසද තකට තක ය තම්බි දැන් මේ පැත්තේය ඉස්සර උන් අර පැත්තේය ,Racist,ෂ්‍රී ලංකන් දේෂපාලන පෙ පෙන සිදුව විකිනි මිල ගැනී හම හුර දාන මොඩ චන් දායක දුටුවි අහෝ අප සිරබ කෑ මෙ පිරිස උදෙසා යැ සිත යක හැටිය විමාන ජනතාව පාර්ලිමේන්ත පිරිස තකට තක තම්බි පැත්තේ ඉස්සර උන් අර පැත්තේ
44,මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ පිටින් කය්ටිය ආව ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව මම හම්සට පෙන්නුවා අඩෝ අර තම්බි කෑල්ල පට්ටනේ කියල මූ කියාපි   හුටෝ ඒ මගේ අක්කා කියල  😐😐😐😐 මතක,Religion,මා හම්ස එක ඔපිස එකේ වැඩ කර පොඩි සෙමි එක තිබ්බ පිට කය්ට අව එකට ලස්ස මුස්කි කෙල්ල අව මම හම්ස පෙන්න අඩෝ අර තම්බි කෑල් පට්ටන කිය මූ කියාපි හුට මගේ අක් කිය 😐😐😐😐 මතක
45,මත්කද හුත්තො   ලොක විනාසේ ඇවිත් මුලුලොකෙම විනාස උනාඅදට අවුරුදු මිය ගිය සිය්ලුදෙනාටම  නිවන් සුව පතන්න,Neutral,මත්ක හුත්ත ලොක විනාස ඇවි මුලුලොකෙ විනාස උනාඅද අවුරුද මිය ගිය සිය්ලුදෙනාට නි සුව පත
46, යකෝ උඹට ඕනි විදිහට සිංහල අකුරු ගලපන්න බෑ අකුරු හරියට ලියන්න බැරිනම් සිංහලෙන් නොදා හිටු 😡,Neutral,යකෝ උබට ඔනි විදිහ සිංහ අකුර ගලප බෑ අකුර හරිය ලිය බැරින සිංහල නොද හිට 😡
47,රට බෙදන සියළු කොන්දේසි වලට අද රනිල් ලිඛිතව එකඟ වී දෙමළ සංධානයේ සහය ලබා ගනී,Political,රට බෙද සියල කොන්දේසි වලට අද රනිල ලිකිත එකග වී දෙමල සංධාන සහය ලබා ගනී
48,  අනිවාර්යයෙන් හම්බ කරලා කාලා බීලා ආතල් එකේ ඉන්න ඕනසැපේ,Neutral,අනිවාර්ය හම්බ කර  බී අතල එකේ ඉ ඔනසැප
49, සල්ලි නෑ බොලඩොලර් ක් හම්බ කලොත් ක් GST ක් ආදායම් බදුලේසි නැ,Neutral,සල්ලි බොලඩොලර හම්බ කල  අදාය බදුලේසි නැ
50,අම්ම ගාව තියනව බං එයාගෙං ඉල්ලගනිං මීට තාත්ති😁 ,Neutral,අම් ගාව තියන බං එයාගෙං ඉල්ලගනිං මීට තාත්ති😁
51,sinhala hot gossip සිංහල බෞද්ධ සේවකයන්ට සුළු ජාතික නිළදාරින්ගෙන් කරදර ප  via ,Racist,සිංහ   සිංහ බෞද්ධ සේවකයන් සුල ජාතික නිලදාරි කරදර ප 
52,මඩ කරි රංජා මාව බොලොක් මෙන්න මේක ඌට ටැග් කරපල්ලා කවුරැහරි හිටපු ආරක්ශක ලේකම් ටයි බේරැවල හිටපු නගරාධිපතිටයි බුකියෙ…,Neutral,මඩ කරි රංජ මාව බොලො මේක උට ටැග කර කවුරැහරි හිට අරක්ෂක ලේක ටයි බේරැ හිට නගරාධිපතිට බුකියෙ…
53, මෙහ් හුත්තො 🙄,Neutral,මෙහ හුත්ත 🙄
54,     හර්ශ මචං එතකොට ඔය grant එක දුන්නේ UNP එකටද නැත්තන් රටක් හැ…,Political,හර්ෂ මචං එතකො ඔය  එක දු එක්සත් ජාතික පක්ෂ එකට නැත්ත රට හැ…
55,  වයස ගැන කියල දෙන්න උබ හෙන වයස එකාද අනෙ මේ පලයං බං යන්ඩ,Neutral,වයස කිය දෙ උබ හෙන වයස එකා අනෙ පලයං බං යන්ඩ
56,හදිසියක් උනාම එක කෝල් එකෙන් හරි අරන් පලයන් කිවුව Muthu අයියා තැන්කූ ❤️,Neutral,හදිසිය උනා එක කෝල එ හරි අර පල කිව  අයි තැන්ක ❤️
57, ඒ උනාට සිංහල නෑනෙ,Neutral,උනා සිංහ නෑන
58, 😂😂😂 මම පබ්ලිසිටි අරන් දෙන්නම්  උඹ ගේම ගහගෙන පලයන්,Neutral,😂😂😂 මම පබ්ලිසිටි අර දෙන්න උබ ගේම ගහගෙ පල
59,  උබ පලයන් යන්න😂😂,Neutral,උබ පල යන්න😂😂
60, මොංගල් ද 😑 පලයන් බන් යන්න,Neutral,මොංගල 😑 පල බන් ය
61, කොටුවෙන් ගත්තෙ සීයට තුනක් හම්බ උනා 😂🔫,Neutral,කොටු ගත්ත සීය තුන හම්බ උනා 😂🔫
62,ලබන  වසරේදී සිංහල සිනමාව වෙනුවෙන් නිකුත් වීමට නියමිත චිත්‍රපට කිහිපයක් මේ Thread එකෙන් ඔබට බලාගත හැකිය …,Neutral,ලබන වසරේද සිංහ සිනමා නිකු වීම නියමිත චිත්‍රප කිහිපය  එ ඔබට බලාගත හැ …
63,දෙමළ සන්ධානය එජාපයට හේත්තු වූ හේතුව ධර්මලිංගම් කියයි ,Political,දෙමල සන්ධාන එජාපය හේත්ත වූ හේත ධර්මලිංග කි
64,  සිංහල අකුරු පොඩ්ඩක් ලොකුයි වගේ  ඒකයි ඇහුවේ ,Neutral,සිංහ අකුර පොඩ්ඩ ලොකු වගේ එක ඇහ
65,  මේක ලෝකෙට කියන්නත්  හදුන්වන්න ඕනේ  සිංහල ජාතිකයෙක්  හැටියට අම්මපා මුන් මොන S…,Neutral,මේක ලෝකෙ කියන්න හදුන්ව ඔනේ සිංහ ජාතිකය හැටිය අම්මප ම මොන …
66,ජනපති ගේ පිස්සු නැටිල්ල ගැන BBC සිංහල සේවය ලියූ දිග ලිපිය ,Political,ජනප පිස්ස නැට  සිංහ සේව ලිය දිග ලි
67,සිංහ ලග්නය  Leo   නව වසර ඔබට කොහොමද මෙන්න ,Neutral,සිංහ ලග්න  වසර ඔබට කොහොම
68,මොකද්ද මතක් උන සිංහල සින්දුව ,Neutral,මොකද් මත උන සිංහ සින්ද
69, ඔව් ඔව් ගෙදරක හැදුවොත් තමයි ඉතින් නිවාඩුවට කොස් තියෙන කාලෙට ගෙදර ගියොත් ඉතින් ඔය මෙනු එක මට හම්බ වෙනවමයි,Neutral,ඔව් ඔව් ගෙදරක හැද තම නිවාඩුව කොස තියෙ කාලෙ ගෙදර ගිය ඔය මෙ එක මට හම්බ වෙනවම
70, සරල සිංහල ව්‍යාකරණ වත් දන්නෙ නැති එකෙක් මේක දාල තියෙන්නෙ රට හදන්න කලින් තමන්ගෙ මව් භාෂාව වත් ඉගෙනගෙන වරෙන් පක්ෂයටත් අපහාසයක්,Neutral,සරල සිංහ ව්‍යාකරන දන්න නැ එක මේක දාල තියෙන්න රට හද කල තමන්ග මව් බාෂා ඉගෙනගෙ වර පක්ෂය අපහාසය
71, අනේ පලයන් හූනූ පැටියෝ යන්න දෙහි ගෙඩි දෙකක් තරම් උස නෑ එනවා මාව මරන්න😂😂😂,Neutral,පල හූන පැටි ය ද ගෙඩි දෙක තර උස එ මාව මරන්න😂😂😂
72,BBC News සිංහල  ඊෂා අම්බානි ඉන්දියාවේ ධනවත් ම පුද්ගලයාගේ දියණියගේ උත්කර්ෂවත් විවාහය ,Neutral,  සිංහ ඉෂා අම්බා ඉන්දිය ධන පුද්ගල දියනි උත්කර්ෂ විවාහ
73,ආච්චිට සීයා හම්බ වුනොත් හුරගෙන කනවලු ,Neutral,අච්චි සී හම්බ ව හුරගෙ කනවල
74,BBC News සිංහල  අකිල ධනංජයගේ පන්දු යැවීමේ විලාසය නීති විරෝධීයි  අයිසීසී ,sports,  සිංහ අක ධනංජ පන්ද යැව විලාස නී විරෝධී අයිසීස
75,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා ,Political,  සිංහ ලංක දේෂපාල අර්බුද සති හය ඉක්ම ගිය අර්බුද සුවිෂේෂ අවස්ථ
76,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https…,Political,  සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම …
77,BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් ,Political,  සිංහ ලංක දේෂපාල අර්බුද විසදීම ජනප ද සහතික කාල දින අවස
79, ලංකාව මෆියාලන්තය ඡනාධිපතිමෆියාඅධිපති අගමැතිමෆියාපති අැමතිමෆියාමැති නියොඡය අැමති නියොඡය මෆියාමැති  ම…,Political,ලංකා මෆියාලන්ත චනාධිපතිමෆියාඅධිප අගමැතිමෆියාප අැමතිමෆියාමැ නියොච අැම නියොච මෆියාමැ ම…
