Text,Class
"""@ThiranjaJ මැද අම්ම දෙපැත්තෙ දරුවෝ දෙන්න !!😂""",Neutral
""""" සල්ලි .... හම්බ කරන්නාට දුකත් , වියදම් කරන්නාට සැපත් ගෙන දේ ...  [ Shewan ] 😊🤔😊 https://t.co/01QEZERSll https://t.co/Qk6wwWOnwO""",Neutral
"""RT @MaheshNegombo: පුවත 1: අම්පාරෙ කඩේක හොද්දක පිටි ගුලියක්.  "" යකෝ හම්බයො පෙති දාල ජාතිය වඳ කරනෝ රට ජාතිය අනතුරේ සිංහල ලේ කකියනෝ යන්නෙත්…""",Racist
"""RT @pasiya14: යසිත් මාලිංග ඇවිත් හිටියා දොඩන්දුවේ මලු ලැල්ලට තාත්තා හම්බ වෙන්න  බස් එකෙන් බැහැලා ගිහින් පොටො එකක් ගහන් එන්න හිතුනා   ඇපල්…""",sports
"""@Wind_Desika බොරු කියන්න ඕනෙ නැ බ්‍රෑන්ඩඩ් ඒව ගන්නෙ හම්බ කරන නිස... සිරාවටම කොලිටි!   ටිම්බර්ලෑන්ඩ් දෙක මරෙනකන්ම තියාගන්න පුලුවන්න්""",Neutral
"""BBC News සිංහල - ඔස්ට්‍රේලියාව: ලෝකයේ අවධානය දිනූ අයෝමය කැන්ගරු 'රොජර්' මිය යයි https://t.co/c7LmhTPuLt""",Neutral
"""RT @IndrajithLk: ""ඝරසරප"" සම්පුර්ණ සිංහල චිත්‍රපටය.  පහළ තියෙන link එකෙන් download කරගන්න. යාළුවන්වත් mention කරල එයාලටත්, මේ link එක දෙන්න.…""",Neutral
"""@Suvi_DimpleGirl අම්ම ගෙදරින් එලවයි 😂😂😂""",Neutral
"""RT @ajithperakum: ජනාධිපති ඉරනමඩු වැවේ පැරණි ඵලකයක් කඩා බිඳ දැම්මා ය කියන කතාවේ ඇත්ත නැත්ත @prajalanka ඉරනමඩු වැව, ඩඩ්ලි සහ මෛත්‍රී  https:…""",Political
"""RT @ApiWenuwen: @Welikumbura @Neetwit ඔවු සමහරවිට. මොකද මේකේ පැහැදිලි ඉල්ලක්කය සිංහල #Buddhist මෝඩයෙක් කිරීමයි. මොකද මේ වැඩේ ඕනෙම කෙනෙකුට…""",Neutral
"""RT @ApiWenuwen: @Ishak1225 @Welikumbura @Neetwit අපේ බොජුන් කිවත් අයිතිකාරයා / වැඩකරන අය සිංහල #Buddhism බවුද්ද නොවෙන්නත් පුළුවන් නේද ?""",Religion
"""@SLchathu පලයං දකුණු ඉන්දියාවට""",Neutral
"""RT @AmithWeerasing3: අදින් වසර කිහිපයකට පෙර එක දිනයක්.. අපට හැකිවුනා වත්මන් ශ්‍රී ලංකාව තුල දැවැන්ත සිංහල  සංවිධානයක් ගොඩනගන්න. https://t.c…""",Neutral
"""@imsweetpotato ආ ට්‍රැෆික් තියෙන පාරක් හම්බ වෙලා :D""",Neutral
"""RT @RathuMakaraFM_: අද නඳුන් උයනට සම වැදෙන්න හරියටම රෑ 8 වෙනකොට #රතුමකරාFM වෙත ගොඩ වැදෙන්න @nadun97 එනවා #NadunUyana අරන් ඔයාලව හම්බ වෙන්න.…""",Neutral
"""👀😜😜👉බොහොම අමාරුවෙන් හොයලා හොයලා හම්බ උනා ඩයල් එක😜😜😆😆😆😄😄😄🤣🤣👇👇👇👇👇 https://t.co/QHPXlFV3RB""",Neutral
"""රෝමානු කතෝලික වූ අයෙක් සිංහල බෞද්ධ වුණේ ඇයි දැ'යි මගෙන් ප්‍රශ්න කරනවා. උත්තරේ නම් රෝමන්කාරයෝ කතෝලික වෙච්චි; සිංහලයෝ බෞද්ධ වෙච්චි. ඒ හැර ධර්මය සිංහලයාට ම ය; සිංහලයාගේ ය කියා කේවල් කිරීමක් නැත. පරම්පරා පහ හයකට, හත... https://t.co/2l5nu6jnPL""",Religion
"""බස් එකේ ඩ්රයිවර් බහිද්දි අහනවා ටීචර් ගොඩක් සල්ලි තියනවද කියලා? මන්  ඇහුවා ඇයි එහෙම අහන්නෙ කියලා.  නෑ ඉතින් නිවාඩු කාලෙත් ක්ලාස් කරලා හම්බ කරනවානේ ලූ. මට ඉතින් දෙය්යනේ සල්ලී තියනව නම් මේම  බස් එකේ යනවද. ගන්නවනේ හෙලිකොප්ටරයක් කියලා කියන්න හිතුනට කිව්වෙ නෑ ඉතින් 😂""",Neutral
"""@uzumakilahiru @SHINE53969071 අනිත් එක Mcleren P1 හම්බ වෙන්නෙ Garage Level 8 Max වල....හිතනවද Garage Level 8 Max යන්න ලේසියි කියලා....ලොකුකම් තියෙන Noob කෙනෙක්ට වත් යන්න බැහැ....""",Neutral
"""හැම දාම ජනතාව හොදට ඇන්ද වු දේශපාලඥයින් සියල්ලම මේ වන විට උන්ටම හොදටම ඇන්දී ඇත.ඔවුනොවුන්ට හොදට රැවටී අමාරුවේ වැටී ඇත.ඔය මොකා ආවත් කරේ ජනතාව රැවටීම පමණයි. අරුන් දෙමළ අරුන් මුස්ලිම් යේක සිංහල මිනිස්සු කිය කියා මහනතාව... https://t.co/9iMPTbOCjk""",Political
"""මං අනිත් දවසේ අත හෝදන්නේ මෙහෙම. මගෙත් එක්ක මෙහෙම අත හෝදන්න කැමති කට්ටිය ඉන්නවනම් ඉන්බොක්ස් කර අමතන්න. (අවුරුද්දකට පස්සේ උත්තර ලැබෙන එක වෙනම කතාවක්) ගැහැණු පිරිමි භේදයක් නෑ (අත හෝදන්නනෙ හුත්ත හැමිණෙන්න නෙමෙයි... https://t.co/gRa7DJjEKm""",Sexism
"""කදිම නිර්මාණයක්. ""ඉතින් සහෝදරවරුණේ"" කාව්‍ය සංග්‍රහයේ අඩංගු කාව්‍යයත් මෙවැනිම රසයක් ගෙන දුන්නා. සිංහල කවියට මම පෙම් බැන්දේ සන්දේශ කාව්‍යන් නිසාවත්, ජනකවි නිසාවත් නොවෙයි, ඉතින් සහෝදරවරුණේ කාව්‍යය... https://t.co/R9n9q9uLFq""",Neutral
"""2019 ලග්න පලාපල සහ ඔබේ ලග්නයට අනුව ශුභ අශුභ හා සුදුසු වත් පිලිවෙත් කියවන්න - https://t.co/TkeLLUCtnq  මේෂ ලග්නය - මිශ‍්‍රපල යෙදෙන වසරකි. වෘෂභ ලග්නය - වියදමි යෙදෙන වසරකි. මිතුන ලග්නය. - මිශ‍්‍රපල හිමි වේ කටක ලග්නය - පැවති කරදර බාධා ඉවත්වේ සිංහ ලග්නය -... https://t.co/TkeLLUCtnq""",Neutral
"""සිංහල අක්කලා නංගිලා ටික පොඩි වෙලාවක් වැය කරල කියවලා බලන්න.  මට මුණ ගැහුණා අම්මා කෙනෙකුයි තාත්තා කෙනෙකුයි දුවෙකුයි..  ලස්සන සිංහල නංගි කෙනෙක්.. මුස්ලිම් තරුණයෙක් එක්ක සම්බන්ධයක් ඇති… https://t.co/dLxWZpY60a""",Neutral
"""තරුණයෙක් විදියට තැබූ ගරුත්වය ඔබ නැති කර ගත්තේ මැතිවරණය ඉලක්ක කරගනිමින් ජාතිවාදියකු වූ නිසයි.ඔය ඔබගේ සැබෑ කතාව නොව මැතිවරණය වෙනුවෙන් මාතර සිංහල බෞද්ධ ජනතාව මුලා කිරීමේ කතාවයි.මැතිවරණයට ජාතිවාදී වන්නන්ට සැබෑම... https://t.co/K1quJNPKGw""",Political
