Text,Class,Filtered_sentence
😂 වැඩකොලනඅපේවිලුවා 😂මව්බිමටහෙමින්කෙලිනා😂,Political,😂 වැඩකොලනඅපේවිල 😂මව්බිමටහෙමින්කෙලිනා😂
😂 වැඩකොලනඅපේවිලුවා 😂මව්බිමටහෙමින්කෙලිනා😂,Political,😂 වැඩකොලනඅපේවිල 😂මව්බිමටහෙමින්කෙලිනා😂
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා ,Political,  සිංහ ලංක දේෂපාල අර්බුද සති හය ඉක්ම ගිය අර්බුද සුවිෂේෂ අවස්ථ
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා ,Political,  සිංහ ලංක දේෂපාල අර්බුද සති හය ඉක්ම ගිය අර්බුද සුවිෂේෂ අවස්ථ
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් ,Political,  සිංහ ලංක දේෂපාල අර්බුද විසදීම ජනප ද සහතික කාල දින අවස
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් ,Political,  සිංහ ලංක දේෂපාල අර්බුද විසදීම ජනප ද සහතික කාල දින අවස
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https…,Political,  සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම …
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් ,Political,  සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https…,Political,  සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම …
BBC News සිංහල  ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් ,Political,  සිංහ ලංක දේෂපාල අර්බුද ජනප මෛත්‍රීපා සිරිසේන මානසික සෞක්‍ය අබියාචනාධිකරනය පෙත්සම
සහරානුත් සැහැල්ලු ගුවන් යානාවලින් අත්හදා බැලීම් කළා 🤣🤣🤣 ආරක්ෂාව කියන දේ බලන්න ඕන ඔක්කොටම කලින්,Political,සහරානු සැහැල්ල ගු යානා අත්හද බැල කලා 🤣🤣🤣 අරක්ෂා කිය දේ බල ඔන ඔක්කොට කල
සහරානුත් සැහැල්ලු ගුවන් යානාවලින් අත්හදා බැලීම් කළා 🤣🤣🤣 ආරක්ෂාව කියන දේ බලන්න ඕන ඔක්කොටම කලින්,Political,සහරානු සැහැල්ල ගු යානා අත්හද බැල කලා 🤣🤣🤣 අරක්ෂා කිය දේ බල ඔන ඔක්කොට කල
සීනි වංචාව හෙලිවීමත් සමග ඇමිතිවරැන්ගේ හොර අඹුවන් රෙදි නැතිව මඩ සමග එළියට 🐄🐄🐄,Political,සී වංචා හෙලිවීම ඇමිතිවරැ හොර අබු රෙදි නැති මඩ එලිය 🐄🐄🐄
සීනි වංචාව හෙලිවීමත් සමග ඇමිතිවරැන්ගේ හොර අඹුවන් රෙදි නැතිව මඩ සමග එළියට 🐄🐄🐄,Political,සී වංචා හෙලිවීම ඇමිතිවරැ හොර අබු රෙදි නැති මඩ එලිය 🐄🐄🐄
සීනි හොරා රාජපක්ෂලා යනු උපන්ගෙයි හොරැන් ය🙏🙏😡,Political,සී හොර රාජපක්ෂ යනු උපන්ගෙ හොරැ ය🙏🙏😡
සීනි හොරා රාජපක්ෂලා යනු උපන්ගෙයි හොරැන් ය🙏🙏😡,Political,සී හොර රාජපක්ෂ යනු උපන්ගෙ හොරැ ය🙏🙏😡
සිරස කියන්නෙ තමන්ට විරුද්ධ මිනිහට එලව එලව පහරදීම සිරස ගිනිගත්ත වෙලාවෙ රාජපක්ෂලට ගැහුව දැන් රාජපක්ෂ එක්ක එකතුවෙලා රනිල්ට ගහනව  අපි ඔක්කොම දන්නව කිලී සහ රනිල් අතර ලොකු ප්‍රශ්නයක් තියෙනව කියල  එහෙම කියල මාද්‍ය කියනදේ මිනිසුන්ට එපා කරන්න හොඳ නැහැ LKA BlackMedia SirasaTV ,Political,සිරස කියන්න තමන් විරුද්ධ මිනිහ එලව එලව පහරදී සිරස ගිනිගත්ත වෙලාව රාජපක්ෂල ගැහ රාජපක්ෂ එක්ක එකතුවෙ රනිල් ගහන අපි ඔක්කො දන්න කිල රනිල ලො ප්‍රෂ්නය තියෙන කිය එහෙ කිය මාද්‍ කියනද මිනිසුන් එපා කර හොද නැහැ ‍ෂ්‍රී ලංකා  
සිරස කියන්නෙ තමන්ට විරුද්ධ මිනිහට එලව එලව පහරදීම සිරස ගිනිගත්ත වෙලාවෙ රාජපක්ෂලට ගැහුව දැන් රාජපක්ෂ එක්ක එකතුවෙලා රනිල්ට ගහනව  අපි ඔක්කොම දන්නව කිලී සහ රනිල් අතර ලොකු ප්‍රශ්නයක් තියෙනව කියල  එහෙම කියල මාද්‍ය කියනදේ මිනිසුන්ට එපා කරන්න හොඳ නැහැ LKA BlackMedia SirasaTV ,Political,සිරස කියන්න තමන් විරුද්ධ මිනිහ එලව එලව පහරදී සිරස ගිනිගත්ත වෙලාව රාජපක්ෂල ගැහ රාජපක්ෂ එක්ක එකතුවෙ රනිල් ගහන අපි ඔක්කො දන්න කිල රනිල ලො ප්‍රෂ්නය තියෙන කිය එහෙ කිය මාද්‍ කියනද මිනිසුන් එපා කර හොද නැහැ ‍ෂ්‍රී ලංකා  
සිරා හොඳයිනෙසිරා වැඩ පුලුවන් මිනිහෙක් හමුදාපති කරලා හරි තියෙනවා,Political,සිර හොදයිනෙසිර වැඩ පුලු මිනිහ හමුදාප කර හරි තියෙ
සිරා හොඳයිනෙසිරා වැඩ පුලුවන් මිනිහෙක් හමුදාපති කරලා හරි තියෙනවා,Political,සිර හොදයිනෙසිර වැඩ පුලු මිනිහ හමුදාප කර හරි තියෙ
සිරිසේනගේ සහ නන්දසේනගේ ආණ්ඩුවල බඩුමිලඔබට සතුටුයිද දැන්,Political,සිරිසේන නන්දසේන අන්ඩ බඩුමිලඔබ සතුටුයි
සිරිසේනගේ සහ නන්දසේනගේ ආණ්ඩුවල බඩුමිලඔබට සතුටුයිද දැන්,Political,සිරිසේන නන්දසේන අන්ඩ බඩුමිලඔබ සතුටුයි
සෑම ආණ්ඩුවක්ම අනුගමනය කරපු ප්‍රතිපත්තියමයි මේ ආණ්ඩුව අනුගමනය කරන්නෙත්  කුමාර් ගුණරත්නම් ගම්පහට සතියක් මැයෙන් පෙරටුගාමී සමාජවාදී පක්ෂය සංවිධානය කළ ජනතා දැනුවත් කිරීමේ වැඩසටහනේ  දින ගම්පහ නගරයේ ජනතාව මුණගැසෙමින් පක්ෂයේ ප්‍රධාන ලේකම් කුමාර් ගුණරත්නම් සහෝදරයා දැක්වූ අදහස්,Political,සෑම අන්ඩුවක් අනුගමන කර ප්‍රතිපත්තියම අන්ඩ අනුගමන කරන්නෙ කුමාර ගුනරත්න ගම්පහ සතිය මැ පෙරටුගාම සමාජවාද පක්ෂ සංවිධාන කල ජනත දැනු කිර වැඩසටහන දින ගම්පහ නගර ජනතා මුනගැසෙ පක්ෂ ප්‍රධා ලේක කුමාර ගුනරත්න සහෝදර දැක්ව අදහස
සෑම ආණ්ඩුවක්ම අනුගමනය කරපු ප්‍රතිපත්තියමයි මේ ආණ්ඩුව අනුගමනය කරන්නෙත්  කුමාර් ගුණරත්නම් ගම්පහට සතියක් මැයෙන් පෙරටුගාමී සමාජවාදී පක්ෂය සංවිධානය කළ ජනතා දැනුවත් කිරීමේ වැඩසටහනේ  දින ගම්පහ නගරයේ ජනතාව මුණගැසෙමින් පක්ෂයේ ප්‍රධාන ලේකම් කුමාර් ගුණරත්නම් සහෝදරයා දැක්වූ අදහස්,Political,සෑම අන්ඩුවක් අනුගමන කර ප්‍රතිපත්තියම අන්ඩ අනුගමන කරන්නෙ කුමාර ගුනරත්න ගම්පහ සතිය මැ පෙරටුගාම සමාජවාද පක්ෂ සංවිධාන කල ජනත දැනු කිර වැඩසටහන දින ගම්පහ නගර ජනතා මුනගැසෙ පක්ෂ ප්‍රධා ලේක කුමාර ගුනරත්න සහෝදර දැක්ව අදහස
සමහරු කතා කරන්නේ නිකන් ජනාධිපතිපති හිතලා කට්ටියව පත් කරනවා වගේනේ 😂😂😂  පව් අර අහිංසකයා 😁😂,Political,සමහර කතා කර නික ජනාධිපතිප හිත කට්ටිය පත් කර වගේන 😂😂😂 පව් අර අහිංසක 😁😂
සමහරු කතා කරන්නේ නිකන් ජනාධිපතිපති හිතලා කට්ටියව පත් කරනවා වගේනේ 😂😂😂  පව් අර අහිංසකයා 😁😂,Political,සමහර කතා කර නික ජනාධිපතිප හිත කට්ටිය පත් කර වගේන 😂😂😂 පව් අර අහිංසක 😁😂
ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස ,Political,ලංක දේෂපාල අර්බුද ලෝන්ලි ප්ලැනට පල තැන ගත් ලංක සංචාරක කර්මාන්ත හෙට දවස
ශ්‍රිලනිප යෝජනා කමිටුවට හෙට බාරදෙයි,Political,ෂ්‍රිලනිප යෝජ කමිටුව හෙට බාරදෙ
ශ්‍රිලනිප යෝජනා කමිටුවට හෙට බාරදෙයි,Political,ෂ්‍රිලනිප යෝජ කමිටුව හෙට බාරදෙ
ෆෙඩරල් දෙන්න රනිල් එකග වෙයි – ලිඛිත ගිවිසුම TNA සමග හෙට අත්සන් තබයි  Voice of Lanka ,Political,ෆෙඩරල දෙ රනිල එකග වෙ – ලිකිත ගිවිසු  හෙට අත්ස තබ   
ෆෙඩරල් දෙන්න රනිල් එකග වෙයි – ලිඛිත ගිවිසුම TNA සමග හෙට අත්සන් තබයි  Voice of Lanka ,Political,ෆෙඩරල දෙ රනිල එකග වෙ – ලිකිත ගිවිසු  හෙට අත්ස තබ   
විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා,Political,විමල ගොන වගෙ  එකෙ මෑරෙ හද පරය රටට වෑඩ කර යකො හොර
විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා,Political,විමල ගොන වගෙ  එකෙ මෑරෙ හද පරය රටට වෑඩ කර යකො හොර
විපක්ෂ නායකතුමා තාම ඉන්නේ හෝඩියේ පන්තියේ,Political,විපක්ෂ නායකතුම තාම ඉ හෝඩි පන්ති
විපක්ෂ නායකතුමා තාම ඉන්නේ හෝඩියේ පන්තියේ,Political,විපක්ෂ නායකතුම තාම ඉ හෝඩි පන්ති
හැබැයි කවදාක හරි ගූ ඇන් පී ආණ්ඩුවක් ආව දවසටත් ඔහොමම ජනතාවගෙ පැත්තෙ හිටියොත් තමයි තවත් වටින්නෙ,Political,හැබැ කවදාක හරි ගූ ඇන් පී අන්ඩුව අව දවස ඔහොම ජනතාවග පැත්ත හිටිය තම වටින්න
හැබැයි කවදාක හරි ගූ ඇන් පී ආණ්ඩුවක් ආව දවසටත් ඔහොමම ජනතාවගෙ පැත්තෙ හිටියොත් තමයි තවත් වටින්නෙ,Political,හැබැ කවදාක හරි ගූ ඇන් පී අන්ඩුව අව දවස ඔහොම ජනතාවග පැත්ත හිටිය තම වටින්න
හැම දාම ජනතාව හොදට ඇන්ද වු දේශපාලඥයින් සියල්ලම මේ වන විට උන්ටම හොදටම ඇන්දී ඇතඔවුනොවුන්ට හොදට රැවටී අමාරුවේ වැටී ඇතඔය මොකා ආවත් කරේ ජනතාව රැවටීම පමණයි අරුන් දෙමළ අරුන් මුස්ලිම් යේක සිංහල මිනිස්සු කිය කියා මහනතාව ,Political,හැම දාම ජනතා හොද ඇන් වු දේෂපාලඥය සියල්ල උන්ට හොදට ඇන්ද ඇතඔවුනොවුන් හොද රැවට අමාර වැට ඇතඔ මො අ කරේ ජනතා රැවටී පමන අර දෙමල අර මුස්ලි යේක සිංහ මිනිස්ස කිය කි මහනතා
හැම දාම ජනතාව හොදට ඇන්ද වු දේශපාලඥයින් සියල්ලම මේ වන විට උන්ටම හොදටම ඇන්දී ඇතඔවුනොවුන්ට හොදට රැවටී අමාරුවේ වැටී ඇතඔය මොකා ආවත් කරේ ජනතාව රැවටීම පමණයි අරුන් දෙමළ අරුන් මුස්ලිම් යේක සිංහල මිනිස්සු කිය කියා මහනතාව ,Political,හැම දාම ජනතා හොද ඇන් වු දේෂපාලඥය සියල්ල උන්ට හොදට ඇන්ද ඇතඔවුනොවුන් හොද රැවට අමාර වැට ඇතඔ මො අ කරේ ජනතා රැවටී පමන අර දෙමල අර මුස්ලි යේක සිංහ මිනිස්ස කිය කි මහනතා
හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අළංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් ආ අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර් ,Political,හිට අරක්ෂක නාගරික සංවර්ධ ලේක ගරු ගෝටාබ රාජපක්ෂ මැති නගර අලංකාර ව්‍යාපෘ සංකල්ප යටත බිහිව ජරා ජීරන වෙ අගනුවර තාරුන්‍ය කැන්ද එදා පිස්සං කොට අද අකේඩ ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර
හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අළංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් ආ අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර් ,Political,හිට අරක්ෂක නාගරික සංවර්ධ ලේක ගරු ගෝටාබ රාජපක්ෂ මැති නගර අලංකාර ව්‍යාපෘ සංකල්ප යටත බිහිව ජරා ජීරන වෙ අගනුවර තාරුන්‍ය කැන්ද එදා පිස්සං කොට අද අකේඩ ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර
හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අලංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් තිබූ  අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර්  Arcade  Independence Square Colombo ,Political,හිට අරක්ෂක නාගරික සංවර්ධ ලේක ගරු ගෝටාබ රාජපක්ෂ මැති නගර අලංකාර ව්‍යාපෘ සංකල්ප යටත බිහිව ජරා ජීරන වෙ තිබ අගනුවර තාරුන්‍ය කැන්ද එදා පිස්සං කොට අද අකේඩ ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර    
හිටපු ආරක්ෂක හා නාගරික සංවර්ධන ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමාගේ නගර අලංකාර ව්‍යාපෘති සංකල්පය යටතේ බිහිවූ ජරා ජීරණය වෙමින් තිබූ  අගනුවරට තාරුණ්‍යය කැන්දන  එදා පිස්සං කොටුව  අද ආකේඩ් ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර්  Arcade  Independence Square Colombo ,Political,හිට අරක්ෂක නාගරික සංවර්ධ ලේක ගරු ගෝටාබ රාජපක්ෂ මැති නගර අලංකාර ව්‍යාපෘ සංකල්ප යටත බිහිව ජරා ජීරන වෙ තිබ අගනුවර තාරුන්‍ය කැන්ද එදා පිස්සං කොට අද අකේඩ ඉන්ඩිපෙන්ඩන්ස්‌ ස්‌ක්‌වෙයාර    
හිටපු ආරක්ෂක ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමා කාර්‍යයයේ නිරතව සිටියදි  වසරක ශ්‍රී ලංකා නාවික හමුදා ඉතිහාසයේ පළමු වරට අළුතෙන්ම මිලදී ගත් විශාලතම සුපිරි අධිතාක්ෂණික නෞකාව ශ්‍රී ලංකා නාවික නෞකා සයුරළ SLNS Sayurala  P  GR NextPresidentInSL SeventhExecutivePresident,Political,හිට අරක්ෂක ලේක ගරු ගෝටාබ රාජපක්ෂ මැතිතුම කාර්‍යය නිරත සිටියදි වසරක ලං නාවික හමුද ඉතිහාස පල වරට අලුතෙන් මිලද ගත් විෂාලත සුපිරි අධිතාක්ෂනික නෞකා ලං නාවික නෞ සයුරල     ෂ්‍රී ලංකාවේ මීලග ජනාධිපති  හත්වන විධායක සබාප
හිටපු ආරක්ෂක ලේකම් ගරු ගෝඨාභය රාජපක්ෂ මැතිතුමා කාර්‍යයයේ නිරතව සිටියදි  වසරක ශ්‍රී ලංකා නාවික හමුදා ඉතිහාසයේ පළමු වරට අළුතෙන්ම මිලදී ගත් විශාලතම සුපිරි අධිතාක්ෂණික නෞකාව ශ්‍රී ලංකා නාවික නෞකා සයුරළ SLNS Sayurala  P  GR NextPresidentInSL SeventhExecutivePresident,Political,හිට අරක්ෂක ලේක ගරු ගෝටාබ රාජපක්ෂ මැතිතුම කාර්‍යය නිරත සිටියදි වසරක ලං නාවික හමුද ඉතිහාස පල වරට අලුතෙන් මිලද ගත් විෂාලත සුපිරි අධිතාක්ෂනික නෞකා ලං නාවික නෞ සයුරල     ෂ්‍රී ලංකාවේ මීලග ජනාධිපති  හත්වන විධායක සබාප
හිනිදුම මැතිවරණ කොට්ඨාසයේ උඩවැලිවිිටිය ගම්මැද්දගොඩ මිදිගහවිට පාලම ඉදිකිරීම සඳහා මුල්ගල් තැබීම වියදම රුපියල් ලක්ෂ කි,Political,හිනිදු මැතිවරන කොට්ටාස උඩවැලිවිිට ගම්මැද්දගොඩ මිදිගහවි පාල ඉදිකිරී මුල්ගල තැබී වියද රුපියල ලක්ෂ කි
හිනිදුම මැතිවරණ කොට්ඨාසයේ උඩවැලිවිිටිය ගම්මැද්දගොඩ මිදිගහවිට පාලම ඉදිකිරීම සඳහා මුල්ගල් තැබීම වියදම රුපියල් ලක්ෂ කි,Political,හිනිදු මැතිවරන කොට්ටාස උඩවැලිවිිට ගම්මැද්දගොඩ මිදිගහවි පාල ඉදිකිරී මුල්ගල තැබී වියද රුපියල ලක්ෂ කි
හරි ලස්සනයි ජනාධිපතිතුමා  රටේ හැම තැනම ප්‍රශ්නතව ලෙඩ්ඩු දහස් ගානක් ඉන්නවා පරීක්ෂා කරන්නඒව කඩිනමින් කරන්න වැඩපිලිවෙලක් නෑ තාම,Political,හරි ලස්සන ජනාධිපතිතුම රටේ හැම තැන ප්‍රෂ්නත ලෙඩ්ඩ දහස ගාන ඉන් පරීක්ෂ කරන්නඑ කඩින කර වැඩපිලිවෙල තාම
හරි ලස්සනයි ජනාධිපතිතුමා  රටේ හැම තැනම ප්‍රශ්නතව ලෙඩ්ඩු දහස් ගානක් ඉන්නවා පරීක්ෂා කරන්නඒව කඩිනමින් කරන්න වැඩපිලිවෙලක් නෑ තාම,Political,හරි ලස්සන ජනාධිපතිතුම රටේ හැම තැන ප්‍රෂ්නත ලෙඩ්ඩ දහස ගාන ඉන් පරීක්ෂ කරන්නඑ කඩින කර වැඩපිලිවෙල තාම
හම්බන්තොට වහල්ලු තමන් වහල්ලු බව තේරැම් ගන්නා තෙක් මෙය වෙනස් නොවේඑතකන් රාජපක්ෂලා කර තබා⁣ගෙන සිටිනු ඇත😡😡😡,Political,හම්බන්තො වහල්ල තම වහල්ල තේරැ ගන් මෙය වෙනස නොවේඑතක රාජපක්ෂ කර තබා⁣ගෙ සිටි ඇත😡😡😡
හම්බන්තොට වහල්ලු තමන් වහල්ලු බව තේරැම් ගන්නා තෙක් මෙය වෙනස් නොවේඑතකන් රාජපක්ෂලා කර තබා⁣ගෙන සිටිනු ඇත😡😡😡,Political,හම්බන්තො වහල්ල තම වහල්ල තේරැ ගන් මෙය වෙනස නොවේඑතක රාජපක්ෂ කර තබා⁣ගෙ සිටි ඇත😡😡😡
හදුන්නෙත්ති ට විරැද්ධව නඩු දාන්න කොමිසමක් දාවි හෙටමසර් එහෙමයි😂😂😡,Political,හදුන්නෙත් විරැද්ධ නඩු දා කොමිසම දාවි හෙටමසර එහෙමයි😂😂😡
හදුන්නෙත්ති ට විරැද්ධව නඩු දාන්න කොමිසමක් දාවි හෙටමසර් එහෙමයි😂😂😡,Political,හදුන්නෙත් විරැද්ධ නඩු දා කොමිසම දාවි හෙටමසර එහෙමයි😂😂😡
